paper_id,title,has_demand,demand_count,has_compliance,compliance_count,decision,acceptance
cXs5md5wAq,Modelling Microbial Communities with Graph Neural Networks,False,0,True,1,Reject,False
rhgIgTSSxW,TabR: Tabular Deep Learning Meets Nearest Neighbors,False,0,False,0,Accept (poster),True
kKRbAY4CXv,Neural Evolutionary Kernel Method: A Knowledge-Based Learning Architechture for Evolutionary PDEs,False,0,False,0,Reject,False
ApjY32f3Xr,PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks for Solving PDEs,False,0,False,0,Reject,False
eUgS9Ig8JG,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,False,0,False,0,Accept (spotlight),True
mnyXZBa5dP,"Image Authenticity Detection using Eye Gazing Data:  A Performance Comparison Beyond Human Capabilities  via Attention Mechanism, ResNet, and Cascade  Strategies",False,0,False,0,,
fMX07g3prp,FR-NAS: Forward-and-Reverse Graph Predictor for Efficient Neural Architecture Search,False,0,False,0,,
qBL04XXex6,Boosting of Thoughts: Trial-and-Error Problem Solving with Large Language Models,False,0,False,0,Accept (poster),True
H9DYMIpz9c,Farzi Data: Autoregressive Data Distillation,False,0,False,0,Reject,False
rp5vfyp5Np,BATTLE: Towards Behavior-oriented Adversarial Attacks against Deep Reinforcement Learning,False,0,False,0,Reject,False
miGpIhquyB,Understanding Large Language Models Through the Lens of Dataset Generation,False,0,False,0,Reject,False
SMZnJtkNX5,Temporal Parallelization for GPU Acceleration of Spiking Neural Networks,False,0,False,0,,
6AtXCnHCFy,FSN: Feature Shift Network for Load-Domain Domain Generalization,False,0,False,0,,
9ceadCJY4B,"Ask Again, Then Fail: Large Language Models’ Vacillations in Judgement",False,0,False,0,Reject,False
BXYZvcgVUv,Object-Relational Graph Framework for Zero-Shot 3D Scene Segmentation,False,0,False,0,,
gYcft1HIaU,Do Current Large Language Models Master Adequate Clinical Knowledge?,False,0,False,0,Reject,False
10eQ4Cfh8p,SIMULTANEOUS GENERATION AND IMPROVEMENT: A UNIFIED RL PARADIGM FOR FJSP OPTIMIZATION,False,0,False,0,Reject,False
NFqFA2vCQV,AdaptIP: Transferring Cross-modal Information to Temporal Modeling for Video-Language Representation Learning,False,0,False,0,,
BQvbL2sFQx,Model-Agnostic Shift-Equivariant Downsampling,False,0,False,0,Reject,False
eR4W9tnJoZ,Visuo-emotional perception and Human Cognition to engineer content-generation using Generative AI,False,0,False,0,Reject,False
jx6njBKH8E,Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships,False,0,False,0,Reject,False
rGvDRT4Z60,"FairPATE: Exposing the Pareto Frontier of Fairness, Privacy, Accuracy, and Coverage",False,0,True,1,Reject,False
w73feIekdO,Real-time computer vision on low-end boards via clustering motion vectors,False,0,False,0,Reject,False
kmn0BhQk7p,Beyond Memorization: Violating Privacy via Inference with Large Language Models,False,0,False,0,Accept (spotlight),True
p4B7rl1UFA,AdaLomo: Low-memory Optimization with Adaptive Learning Rate,False,0,False,0,,
