paper_id,title,has_demand,demand_count,has_compliance,compliance_count,decision,acceptance
RUzSobdYy0V,Quantifying and Mitigating the Impact of Label Errors on Model Disparity Metrics,False,0,True,1,Accept: poster,True
N3kGYG3ZcTi,Suppression helps: Lateral Inhibition-inspired Convolutional Neural Network for Image Classification,False,0,False,0,Reject,False
tmIiMPl4IPa,Factorized Fourier Neural Operators,False,0,True,1,Accept: poster,True
mhnHqRqcjYU,DFPC: Data flow driven pruning of coupled channels without data.,False,0,False,0,Accept: poster,True
sZI1Oj9KBKy,TVSPrune - Pruning Non-discriminative filters via Total Variation separability of intermediate representations without fine tuning,False,0,True,2,Accept: poster,True
I3HCE7Ro78H,Finding Actual Descent Directions for Adversarial Training,False,0,False,0,Accept: poster,True
9Zx6tTcX0SE,A Study of Biologically Plausible Neural Network: the Role and Interactions of Brain-Inspired Mechanisms in Continual Learning,False,0,False,0,Reject,False
6iEoTr-jeB7,Learning Continuous Normalizing Flows For Faster Convergence To Target Distribution via Ascent Regularizations,False,0,False,0,Accept: poster,True
Vx6G9W5M4sQ,pFedKT: Personalized Federated Learning via Knowledge Transfer,False,0,False,0,Reject,False
vzdrgR2nomD,FARE: Provably Fair Representation Learning,False,0,True,1,Reject,False
NOKUQ9JMohJ,ONLINE RESTLESS BANDITS WITH UNOBSERVED STATES,False,0,False,0,Reject,False
IQM-3_Tzldw,Learning to aggregate: A parameterized aggregator to debias aggregation for cross-device federated learning,True,1,False,0,Reject,False
3uDXZZLBAwd,Deep Reinforcement Learning based Insight Selection Policy,False,0,False,0,Reject,False
QN_VgTeOYGl,Data Leakage in Tabular Federated Learning,False,0,False,0,Reject,False
TZG_XsO4x6y,Long-horizon video prediction using a dynamic latent hierarchy,False,0,False,0,Reject,False
yqe0BZeN_xH,SwinZS3: Zero-Shot Semantic Segmentation with a Swin Transformer,True,2,False,0,Reject,False
HTJE5Krui0g,Softened Symbol Grounding for Neuro-symbolic Systems,False,0,False,0,Accept: poster,True
7YfHla7IxBJ,Encoding Recurrence into Transformers,False,0,True,1,Accept: notable-top-5%,True
N_g8TT9Cy7f,Human-Guided Fair Classification for Natural Language Processing,False,0,True,1,Accept: notable-top-25%,True
Xj9V-stmIcO,Proper Scoring Rules for Survival Analysis,False,0,False,0,Reject,False
BO5_Lm7iD_,Social Network Structure Shapes Innovation: Experience-sharing in RL with SAPIENS,False,0,True,2,Reject,False
jREF4bkfi_S,Mini-batch $k$-means terminates within $O(d/\epsilon)$ iterations,False,0,False,0,Accept: poster,True
Jdj0fZhswJC,Convergence is Not Enough: Average-Case Performance of No-Regret Learning Dynamics,False,0,False,0,Reject,False
Rn50hCOX9XX,Gene finding revisited: improved robustness through structured decoding from learning embeddings,False,0,False,0,Reject,False
pWVASryOyFw,Learning Uncertainty for Unknown Domains with Zero-Target-Assumption,False,0,False,0,Accept: poster,True
0OlEBibFa_g,"Detecting Out-of-Distribution Data with Semi-supervised Graph “Feature"" Networks",False,0,False,0,Reject,False
1Wo0vqaZ8WJ,Let Offline RL Flow: Training Conservative Agents in the Latent Space of Normalizing Flow,False,0,False,0,Reject,False
UPQualDj1oo,Machine Learning from Explanations,False,0,False,0,Reject,False
9D5FH6LFbRu,Functional Risk Minimization,False,0,True,1,Reject,False
a-bD9-0ycs0,Latent Linear ODEs with Neural Kalman Filtering for Irregular Time Series Forecasting,False,0,False,0,Reject,False
ULzyv9M1j5,Transformer-based model for symbolic regression via joint supervised learning,False,0,False,0,Accept: poster,True
hChYEyebNm1,Gradient-Based Transfer Learning,False,0,False,0,Reject,False
pgJp7rDc_hk,Coreset for Rational Functions,False,0,False,0,Reject,False
0z_cXcu1N6o,Transformer needs NMDA receptor nonlinearity for long-term memory,False,0,False,0,Reject,False
cZM4iZmxzR7,Simple Spectral Graph Convolution from an Optimization Perspective,False,0,False,0,Reject,False
gNI4_85Cyve,QAID: Question Answering Inspired Few-shot Intent Detection,False,0,False,0,Accept: poster,True
1FsdIfRngtw,Rethinking the Value of Prompt Learning for Vision-Language Models,False,0,True,1,Reject,False
pW_jGk1D_Ww,Disentangled Feature Swapping Augmentation for Weakly Supervised Semantic Segmentation,False,0,True,3,Reject,False
tORS9qGBNpT,Distributed Least Square Ranking with Random Features,False,0,False,0,Reject,False
17RDXeF-skZ,Doing Fast Adaptation Fast: Conditionally Independent Deep Ensembles for Distribution Shifts,False,0,True,1,Reject,False
ejR4E1jaH9k,Solving stochastic weak Minty variational inequalities without increasing batch size,False,0,False,0,Accept: poster,True
8Ygoj2IeXfW,Diversity Boosted Learning for Domain Generalization with a Large Number of Domains,False,0,False,0,Reject,False
dNmkN_z72P4,Towards Performance-maximizing Network Pruning via Global Channel Attention,False,0,False,0,Reject,False
8XfHh4XSQ0Q,Adaptive Block-wise Learning for Knowledge Distillation,False,0,False,0,Reject,False
r9fX833CsuN,Curriculum-based Co-design of Morphology and Control of Voxel-based Soft Robots,False,0,True,1,Accept: poster,True
AqX3oSbzyQ1,Object-Centric Learning with Slot Mixture Models,False,0,True,1,Reject,False
tPKKXeW33YU,WiNeRT: Towards Neural Ray Tracing for Wireless Channel Modelling and Differentiable Simulations,False,0,False,0,Accept: poster,True
HGsoe1wmRW5,Pocket-specific 3D Molecule Generation by Fragment-based Autoregressive Diffusion Models,False,0,False,0,Reject,False
3WYtm7UzsR,Towards scalable and non-IID robust Hierarchical Federated Learning via Label-driven Knowledge Aggregator,False,0,False,0,Reject,False
o3Q4m8jg4BR,LS-IQ: Implicit Reward Regularization for Inverse Reinforcement Learning,False,0,False,0,Accept: poster,True
X5ZMzRYqUjB,Humanly Certifying Superhuman Classifiers,False,0,False,0,Accept: notable-top-25%,True
oJpVVGXu9i,Share Your Representation Only: Guaranteed Improvement of the Privacy-Utility Tradeoff in Federated Learning,False,0,False,0,Accept: poster,True
JIptuwnqwn,Quantized Disentangled Representations for Object-Centric Visual Tasks,False,0,False,0,Reject,False
BDjGGZk9yz,Supervised Random Feature Regression via Projection Pursuit,False,0,False,0,Reject,False
loc3CUXeuzH,Graph Spline Networks for Efficient Continuous Simulation of Dynamical Systems,False,0,False,0,Reject,False
kL67fyKb6A,Online black-box adaptation to label-shift in the presence of conditional-shift,False,0,False,0,Reject,False
WVZQa2QYJN,RuDar: Weather Radar Dataset for Precipitation Nowcasting with Geographical and Seasonal Variability,False,0,False,0,Reject,False
jkMT2AtccX,Learning Representations for Reinforcement Learning with Hierarchical Forward Models,False,0,True,1,Reject,False
F5Cj26wfiu,xTrimoABFold: Improving Antibody Structure Prediction without Multiple Sequence Alignments ,False,0,False,0,Reject,False
mmFtinp4wQ_,Thresholded Lexicographic Ordered Multi-Objective Reinforcement Learning,False,0,False,0,Reject,False
5WOIluv9Xop,HOW SAMPLING AFFECTS TRAINING: AN EFFECTIVE SAMPLING THEORY STUDY FOR LONG-TAILED IMAGE CLASSIFICATION,True,1,False,0,Reject,False
eDLwjKmtYFt,EquiMod: An Equivariance Module to Improve Visual Instance Discrimination,False,0,False,0,Accept: poster,True
cUX2psP06OL,Manipulating Multi-agent Navigation Task via Emergent Communications,False,0,False,0,Reject,False
-M0TNnyWFT5,Task-Aware Information Routing from Common Representation Space in Lifelong Learning,False,0,True,1,Accept: poster,True
htL4UZ344nF,CodeBPE: Investigating Subtokenization Options for Large Language Model Pretraining on Source Code,False,0,False,0,Accept: poster,True
me09xlTmm8,Transport with Support: Data-Conditional Diffusion Bridges,False,0,False,0,Reject,False
8foynpwwRb,Randomized Sharpness-Aware Training for Boosting Computational Efficiency in Deep Learning,False,0,True,1,Reject,False
GX0uI5T8kd,Self-Supervised Off-Policy Ranking via Crowd Layer,False,0,False,0,Reject,False
4F1gvduDeL,Few-Shot Domain Adaptation For End-to-End Communication,False,0,False,0,Accept: notable-top-25%,True
fyD8adDrXo,HyPHEN: A Hybrid Packing Method and Optimizations for Homomorphic Encryption-Based Neural Network ,False,0,True,1,Reject,False
Y1J29OryQg,Causal Inference for Knowledge Graph Completion,True,1,False,0,Reject,False
ywAjQw-spmY,Formal Specifications from Natural Language,True,1,False,0,Reject,False
CcXTudu9bvu,DELTA: Diverse Client Sampling for Fasting Federated Learning,False,0,True,1,Reject,False
rwetAifrs16,Incremental Predictive Coding: A Parallel and Fully Automatic Learning Algorithm,False,0,False,0,Reject,False
HqVp0rNC8jn,Learning Geometric Representations of Interactive Objects,False,0,False,0,Reject,False
7bcrAxy00Jw,Improve distance metric learning by learning positions of class centers,False,0,False,0,Reject,False
m3DmIL7wHDW,The guide and the explorer: smart agents for resource-limited iterated batch reinforcement learning,False,0,False,0,Reject,False
x-mXzBgCX3a,FairGBM: Gradient Boosting with Fairness Constraints,False,0,True,1,Accept: poster,True
-UsbRlXzMG,How (Un)Fair is Text Summarization?,True,1,False,0,Reject,False
Wac06sAkHk,Simulating Task-Free Continual Learning Streams From Existing Datasets,False,0,False,0,Reject,False
18XzeuYZh_,Online Bias Correction for Task-Free Continual Learning,False,0,False,0,Accept: poster,True
j8s-BRxXST,A Simple Contrastive Learning Objective for Alleviating Neural Text Degeneration,False,0,False,0,Reject,False
L6CKiPH3hI,Enriching Online Knowledge Distillation with Specialist Ensemble,True,1,False,0,Reject,False
lKXcMB9tOFD,Improved Gradient Descent Optimization Algorithm based on Inverse Model-Parameter Difference,False,0,False,0,Reject,False
47DzlkyH3dM,Variational Learning ISTA,False,0,False,0,Reject,False
mN43JdXmYMs,Moment Distributionally Robust Probabilistic Supervised Learning,False,0,False,0,Reject,False
r3-aLHxn2nB,CLEP: Exploiting Edge Partitioning for Graph Contrastive Learning,False,0,False,0,Reject,False
dpuAkczrTOt,Meta-Learning the Inductive Biases of Simple Neural Circuits,False,0,False,0,Reject,False
70-hEqC4Wo8,Accelerating spiking neural network training using the $d$-block model,False,0,False,0,Reject,False
-hMNEMgT8Wd,RG: OUT-OF-DISTRIBUTION DETECTION WITH REACTIVATE GRADNORM,False,0,False,0,Reject,False
TN9gQ4x0Ep3,Don’t fear the unlabelled: safe semi-supervised learning via debiasing,False,0,False,0,Accept: poster,True
05ff9BRSMzE,Gandalf : Data Augmentation is all you need for Extreme Classification,False,0,False,0,Reject,False
